GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AD38E001,AD38E002,AD38E003,AD38E004,AD38E005,AD39E001,AD39E002,AD39E003,AD39E004,AD39E005,AD39E006,AD4AE001,AD4AE002,AD4AE003,AD4AE004,AD4AE005,AD4AE006,AD4BE001,NAME_M,AD38M001,AD38M002,AD38M003,AD38M004,AD38M005,AD39M001,AD39M002,AD39M003,AD39M004,AD39M005,AD39M006,AD4AM001,AD4AM002,AD4AM003,AD4AM004,AD4AM005,AD4AM006,AD4BM001
"G0100010","2011-2015",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",22695,40531,63889,97896,156000,12497,32198,51293,79504,148331,239836,3.87,9.94,15.84,24.55,45.80,18.51,0.4227,"Autauga County, Alabama",2540,2175,3195,5060,14195,1295,2001,2853,3482,9533,29182,0.36,0.52,0.64,0.81,1.63,1.80,0.0175
"G0100030","2011-2015",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",22065,40060,62015,99839,181609,12456,30504,50248,79004,168633,284964,3.66,8.95,14.74,23.18,49.47,20.90,0.4564,"Baldwin County, Alabama",943,1397,2073,3063,9381,741,1141,1345,2303,6388,18056,0.23,0.33,0.34,0.39,0.94,1.03,0.0108
"G0100050","2011-2015",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",12766,24771,41178,71011,121380,7223,18337,32953,53744,111183,167093,3.23,8.21,14.75,24.05,49.76,18.70,0.4642,"Barbour County, Alabama",1153,1845,2180,4907,10430,986,1230,1843,3178,6372,13947,0.43,0.51,0.63,0.70,1.26,1.15,0.0150
"G0100070","2011-2015",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",18287,32193,47745,78138,126421,10959,25464,38536,59609,126639,220556,4.20,9.75,14.75,22.82,48.48,21.11,0.4410,"Bibb County, Alabama",2014,2098,4142,7524,10651,1486,2368,2882,4467,21782,79303,0.65,1.01,1.47,1.98,4.42,6.00,0.0475
"G0100090","2011-2015",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",20679,35838,57441,83484,130563,11075,28044,45886,68469,120946,178137,4.04,10.22,16.72,24.95,44.07,16.23,0.4037,"Blount County, Alabama",1424,1776,2876,3935,6064,1191,1510,2365,2448,5748,15139,0.41,0.44,0.54,0.54,1.25,1.14,0.0145
"G0100110","2011-2015",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10544,24887,42069,63721,119202,5607,17982,32897,51239,102011,173718,2.67,8.57,15.68,24.43,48.64,20.71,0.4648,"Bullock County, Alabama",2184,3542,3921,5879,28793,1996,3629,5475,4988,18519,51777,0.82,1.31,1.92,2.10,4.17,4.18,0.0414
"G0100130","2011-2015",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",14026,24918,40969,68308,116233,8131,19049,32542,53148,106990,164925,3.70,8.66,14.80,24.17,48.66,18.75,0.4506,"Butler County, Alabama",1088,1716,2998,4435,6337,849,1279,1810,2709,6933,18550,0.38,0.53,0.67,0.75,1.71,1.61,0.0184
"G0100150","2011-2015",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",16369,32368,51632,79864,136690,9133,24105,41663,63889,128495,203488,3.42,9.02,15.59,23.90,48.07,19.03,0.4464,"Calhoun County, Alabama",895,1110,1057,3390,4641,601,1019,1197,1669,4987,15462,0.21,0.35,0.36,0.48,0.98,1.17,0.0111
"G0100170","2011-2015",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",14919,27240,43263,71126,120663,8651,20320,34802,56003,127504,243086,3.50,8.22,14.07,22.65,51.56,24.57,0.4831,"Chambers County, Alabama",1005,2038,2567,3744,6324,1007,1429,1788,2842,16574,61542,0.45,0.71,1.01,1.53,3.34,4.68,0.0356
"G0100190","2011-2015",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",15777,28970,45655,76254,132192,9607,22417,36335,59304,125290,212012,3.80,8.86,14.36,23.44,49.53,20.95,0.4573,"Cherokee County, Alabama",1499,1816,3545,3716,10584,837,1627,2095,3990,13217,41790,0.34,0.68,0.75,1.21,2.32,3.04,0.0243
"G0100210","2011-2015",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",18704,33440,52487,83220,137685,9975,26022,41862,66458,133411,223859,3.59,9.37,15.07,23.93,48.04,20.15,0.4462,"Chilton County, Alabama",2095,1783,3895,2362,7909,1199,1710,2316,3362,16615,59526,0.45,0.70,0.95,1.41,3.10,4.21,0.0331
"G0100230","2011-2015",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",11785,24489,43973,76656,129673,6766,17796,33596,59340,121108,192903,2.84,7.46,14.08,24.87,50.75,20.21,0.4849,"Choctaw County, Alabama",1180,3290,3823,4608,17308,861,1831,3026,4748,9592,25912,0.34,0.60,0.89,1.23,2.11,2.07,0.0190
"G0100250","2011-2015",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",9637,23766,42455,77930,121053,3168,16667,32318,57404,131209,228561,1.32,6.92,13.42,23.84,54.50,23.73,0.5310,"Clarke County, Alabama",1627,1769,4236,6611,7491,1139,1855,2322,3758,13094,49035,0.44,0.72,0.95,1.52,2.66,3.92,0.0279
"G0100270","2011-2015",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",15386,27003,43558,68788,123922,9097,21989,34981,54047,104118,152081,4.06,9.81,15.60,24.10,46.43,16.96,0.4217,"Clay County, Alabama",2260,2308,3010,5663,15816,1579,1967,3280,4301,7329,12539,0.66,0.58,0.81,0.98,1.69,1.16,0.0193
"G0100290","2011-2015",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",16032,30465,48203,75993,131551,9656,23065,38244,60810,119447,183376,3.84,9.18,15.22,24.21,47.55,18.25,0.4381,"Cleburne County, Alabama",2524,3089,4180,5246,8137,1144,2276,3176,4538,10795,27547,0.45,0.76,0.84,1.19,2.28,2.08,0.0230
"G0100310","2011-2015",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",19466,35651,60893,98707,160368,11080,26938,47209,78886,149929,227692,3.53,8.58,15.03,25.12,47.74,18.13,0.4476,"Coffee County, Alabama",1045,1802,3490,4407,11245,766,1397,2477,3180,8837,24601,0.26,0.42,0.59,0.67,1.50,1.50,0.0155
"G0100330","2011-2015",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",17169,31599,51550,82048,136746,9238,24313,41000,65146,126469,201861,3.48,9.13,15.40,24.47,47.51,18.96,0.4432,"Colbert County, Alabama",1165,1799,1900,3038,10489,783,1291,2004,2358,7693,21135,0.28,0.43,0.57,0.65,1.47,1.46,0.0154
"G0100350","2011-2015",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",10584,18808,33056,59655,100542,4877,14392,25502,45550,99933,170013,2.56,7.56,13.40,23.94,52.53,22.34,0.5014,"Conecuh County, Alabama",1164,2570,3680,6036,13370,1489,1455,3019,5046,11236,35895,0.70,0.64,1.17,1.65,3.21,3.68,0.0320
"G0100370","2011-2015",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",14415,25411,41209,62072,102578,8849,19827,31950,51315,94885,147185,4.28,9.59,15.45,24.81,45.88,17.79,0.4207,"Coosa County, Alabama",1599,1900,3817,4315,21681,1224,2088,3100,3555,7955,20698,0.53,0.81,1.13,1.09,2.22,1.99,0.0241
"G0100390","2011-2015",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",15997,29439,47258,73752,137256,9108,22482,37225,58664,127144,214332,3.58,8.83,14.62,23.04,49.93,21.04,0.4613,"Covington County, Alabama",808,1839,2376,2636,4438,757,1140,1692,2130,6292,19349,0.27,0.39,0.46,0.62,1.19,1.48,0.0126
"G0100410","2011-2015",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",13938,27387,47283,78120,129096,8079,20076,36428,59241,127192,214428,3.22,8.00,14.51,23.60,50.67,21.36,0.4756,"Crenshaw County, Alabama",1182,2306,2764,7615,12911,944,1930,2642,3673,9786,27973,0.37,0.64,0.76,0.94,1.81,1.95,0.0190
"G0100430","2011-2015",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",16793,31314,47628,77324,134358,9168,23452,38953,61094,126246,210366,3.55,9.06,15.04,23.60,48.76,20.31,0.4517,"Cullman County, Alabama",890,1702,2330,3171,9607,649,1141,1565,2346,6651,20724,0.24,0.39,0.47,0.64,1.34,1.56,0.0138
"G0100450","2011-2015",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",16240,34044,55807,83346,143347,8677,24873,44819,68947,130526,202572,3.13,8.95,16.13,24.81,46.98,18.23,0.4426,"Dale County, Alabama",1265,2088,2333,4495,9175,762,1622,2180,2449,8229,25122,0.27,0.52,0.62,0.61,1.57,1.75,0.0169
"G0100470","2011-2015",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",9862,20517,36138,67258,129262,5201,15077,27518,49350,120983,208929,2.39,6.91,12.61,22.62,55.46,23.94,0.5255,"Dallas County, Alabama",679,1481,3308,5835,10804,651,1216,1945,2915,8563,25717,0.27,0.51,0.80,1.00,2.08,2.32,0.0201
"G0100490","2011-2015",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",15899,29665,47383,71947,116591,8544,22661,38199,57882,115993,194855,3.52,9.31,15.70,23.79,47.68,20.02,0.4430,"DeKalb County, Alabama",1112,1588,2303,2739,4818,1120,1318,1715,2285,5941,17928,0.43,0.49,0.55,0.59,1.52,1.48,0.0175
"G0100510","2011-2015",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",23676,42982,66355,99532,157205,13174,32792,53978,81560,151454,247938,3.96,9.85,16.21,24.50,45.49,18.62,0.4204,"Elmore County, Alabama",1665,1635,2372,2662,8280,1185,1427,1792,2242,9536,33373,0.32,0.39,0.51,0.81,1.57,2.00,0.0163
"G0100530","2011-2015",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",12997,24384,41782,68728,120573,7546,18597,32967,54091,111312,177210,3.36,8.28,14.68,24.09,49.58,19.73,0.4645,"Escambia County, Alabama",1149,1450,2242,5076,5599,775,1213,2172,3151,8444,23958,0.37,0.55,0.69,0.87,1.89,2.08,0.0198
"G0100550","2011-2015",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",16809,29649,51198,78271,129772,10066,22721,39707,63371,120453,187871,3.93,8.86,15.49,24.72,46.99,18.32,0.4363,"Etowah County, Alabama",787,1464,1380,2351,4182,525,911,1599,1696,4437,12731,0.18,0.31,0.46,0.44,1.07,1.02,0.0109
"G0100570","2011-2015",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",13564,27382,43017,72309,117323,7324,20124,34862,56566,112821,186204,3.16,8.69,15.05,24.41,48.69,20.09,0.4590,"Fayette County, Alabama",1177,2582,3368,4280,13834,1142,1772,2055,4387,10140,31014,0.46,0.65,0.79,1.09,2.11,2.51,0.0225
"G0100590","2011-2015",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",16174,28770,44871,71599,112292,9295,22272,35978,56695,113570,185230,3.91,9.37,15.13,23.84,47.76,19.47,0.4390,"Franklin County, Alabama",1366,2510,2873,4291,9852,1273,1817,2338,3603,8833,27963,0.47,0.56,0.66,1.04,1.76,2.13,0.0179
"G0100610","2011-2015",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",15410,28140,44920,74287,128193,9190,20908,36266,58229,120625,197931,3.75,8.53,14.79,23.75,49.19,20.18,0.4567,"Geneva County, Alabama",972,2217,2707,5281,8760,1095,1808,2121,3207,12745,39203,0.44,0.74,0.94,1.10,2.63,3.06,0.0280
"G0100630","2011-2015",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",9792,15875,26600,47322,102976,5250,12115,20473,37632,90080,164683,3.17,7.32,12.37,22.73,54.41,24.87,0.5138,"Greene County, Alabama",1006,2541,4000,3523,22493,1304,1371,2683,5311,16153,46940,0.70,0.82,1.45,2.56,4.41,5.30,0.0396
"G0100650","2011-2015",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",12010,25552,41103,67970,133723,6822,18566,32609,52738,119900,205279,2.96,8.05,14.14,22.87,51.99,22.25,0.4868,"Hale County, Alabama",1130,2016,2682,5183,19449,849,1668,2306,3726,12196,35599,0.36,0.66,0.88,1.22,2.36,2.80,0.0235
"G0100670","2011-2015",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",15593,31756,52744,83861,141786,8901,23282,42135,67316,132552,203786,3.25,8.49,15.37,24.55,48.34,18.58,0.4536,"Henry County, Alabama",1283,2521,5360,6346,16029,1172,2274,3400,4857,11685,28255,0.45,0.77,0.91,1.05,2.26,1.99,0.0237
"G0100690","2011-2015",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",17110,32894,52122,85709,161543,9801,24975,41932,67143,153874,277793,3.29,8.39,14.08,22.55,51.68,23.33,0.4815,"Houston County, Alabama",413,801,975,1272,5718,323,536,854,1293,4892,15370,0.12,0.20,0.27,0.35,0.78,0.97,0.0078
"G0100710","2011-2015",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",15725,29825,46613,74092,126625,8746,22506,37592,58932,116610,187065,3.58,9.21,15.38,24.11,47.72,19.14,0.4421,"Jackson County, Alabama",1024,1652,2634,3597,8429,761,1276,1660,2346,6909,19174,0.28,0.42,0.54,0.66,1.36,1.41,0.0136
"G0100730","2011-2015",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",17684,35336,58899,97526,182796,9351,26138,46129,75777,176609,323551,2.80,7.83,13.81,22.69,52.87,24.22,0.4994,"Jefferson County, Alabama",424,632,848,1506,4514,232,485,726,923,4205,14328,0.07,0.14,0.21,0.26,0.54,0.77,0.0056
"G0100750","2011-2015",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",13619,27328,42682,63205,118463,7339,20638,35177,53213,121159,235374,3.09,8.69,14.81,22.40,51.01,24.77,0.4808,"Lamar County, Alabama",1826,2467,3859,3782,10511,1308,2233,2512,3627,27987,103121,0.60,1.16,1.74,2.66,5.61,7.98,0.0574
"G0100770","2011-2015",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",17155,33617,52750,83734,148408,9316,25120,43315,66366,139986,235080,3.28,8.84,15.25,23.36,49.27,20.69,0.4589,"Lauderdale County, Alabama",944,1740,1847,4171,8711,616,1185,1554,2394,7207,21672,0.19,0.37,0.44,0.60,1.23,1.49,0.0128
"G0100790","2011-2015",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",16984,30961,50056,82194,135449,9773,24048,39861,64442,122902,181326,3.75,9.21,15.27,24.69,47.08,17.37,0.4357,"Lawrence County, Alabama",1533,2410,3295,5651,5928,1122,1688,2670,3895,8151,27904,0.40,0.47,0.71,0.99,1.78,2.24,0.0185
"G0100810","2011-2015",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",14865,33593,57057,94105,168658,7014,23588,44632,73989,160346,277850,2.27,7.62,14.42,23.90,51.80,22.44,0.4976,"Lee County, Alabama",934,1553,2167,2487,9765,465,1142,1626,2006,7808,25433,0.15,0.31,0.50,0.58,1.25,1.55,0.0124
"G0100830","2011-2015",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",20450,39241,62140,102717,186019,11526,29185,49745,81112,167007,270680,3.41,8.62,14.69,23.96,49.33,19.99,0.4604,"Limestone County, Alabama",1287,2055,2656,3714,8784,942,1448,1849,3006,9313,29497,0.27,0.39,0.47,0.69,1.37,1.69,0.0146
"G0100850","2011-2015",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",10888,19608,36637,63705,132038,5832,14930,26531,49160,130663,252054,2.57,6.57,11.68,21.65,57.53,27.74,0.5464,"Lowndes County, Alabama",1019,1499,4379,5460,15648,1122,1212,2626,4320,30450,99795,0.59,1.04,1.70,2.67,5.49,7.40,0.0542
"G0100870","2011-2015",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",11500,23126,40119,67099,117740,5823,17239,31198,52045,102847,153944,2.78,8.24,14.92,24.88,49.17,18.40,0.4664,"Macon County, Alabama",1374,1748,2047,2970,8147,810,1402,1954,2689,6238,15486,0.37,0.57,0.72,0.81,1.75,1.51,0.0178
"G0100890","2011-2015",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",23264,44590,73953,117677,201524,12542,33557,58407,94325,196392,335625,3.18,8.49,14.78,23.87,49.69,21.23,0.4676,"Madison County, Alabama",856,1235,1335,2066,5909,529,758,1152,1537,5833,20103,0.11,0.17,0.29,0.36,0.74,0.98,0.0074
"G0100910","2011-2015",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",10742,23567,41932,72244,139540,5796,16898,31994,55020,141973,259181,2.30,6.71,12.71,21.86,56.41,25.75,0.5357,"Marengo County, Alabama",1754,2776,2927,5845,14055,1085,2005,2974,3570,21343,75210,0.46,0.91,1.32,1.81,3.87,5.43,0.0398
"G0100930","2011-2015",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",14600,26378,41226,68559,137389,8037,20458,33192,52979,123614,204446,3.39,8.58,13.93,22.23,51.87,21.45,0.4755,"Marion County, Alabama",1381,2267,2524,5900,12807,895,1432,1827,3275,10325,27191,0.36,0.64,0.79,1.01,2.18,2.18,0.0219
"G0100950","2011-2015",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",17196,30217,49161,82942,150733,10167,23504,38878,63736,143587,251402,3.64,8.40,13.89,22.77,51.30,22.46,0.4744,"Marshall County, Alabama",781,1018,1951,2425,9283,647,828,1352,2219,7575,22092,0.24,0.34,0.46,0.59,1.29,1.42,0.0131
"G0100970","2011-2015",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",16926,33476,54728,88398,151080,9069,24723,43906,69776,146440,250038,3.09,8.41,14.94,23.74,49.82,21.27,0.4693,"Mobile County, Alabama",443,762,862,1167,2270,336,529,777,1115,4006,13689,0.11,0.18,0.26,0.34,0.71,0.90,0.0072
"G0100990","2011-2015",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",8695,19406,37984,63804,109358,1896,13962,27905,49374,104046,167535,0.99,7.08,14.15,25.03,52.75,21.23,0.5194,"Monroe County, Alabama",1034,1754,3478,4651,5848,1140,1439,2937,3213,8958,25391,0.55,0.60,1.14,1.14,2.56,2.43,0.0253
"G0101010","2011-2015",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",16849,34705,56554,92273,170292,9048,25446,44791,72467,159256,274641,2.91,8.18,14.40,23.30,51.20,22.08,0.4819,"Montgomery County, Alabama",739,1050,1499,1899,6296,464,864,1090,1454,5324,17006,0.14,0.25,0.32,0.40,0.90,1.04,0.0092
"G0101030","2011-2015",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",19389,36296,56506,90389,158281,10500,27410,45938,71451,148505,251143,3.46,9.02,15.12,23.52,48.88,20.67,0.4542,"Morgan County, Alabama",1088,1294,1551,2694,6715,695,974,1187,1768,7105,25422,0.23,0.33,0.44,0.63,1.32,1.69,0.0137
"G0101050","2011-2015",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",9974,19053,31926,56143,132386,5262,14327,24955,42693,106736,182664,2.71,7.39,12.87,22.01,55.03,23.54,0.5150,"Perry County, Alabama",1406,1746,3609,9378,30064,1572,1888,3425,5302,15714,27564,0.74,0.94,1.32,1.61,3.18,2.52,0.0310
"G0101070","2011-2015",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",11286,23009,40090,68063,118211,6287,17120,30848,51431,109008,172255,2.94,7.97,14.37,23.95,50.77,20.06,0.4780,"Pickens County, Alabama",1035,2176,2187,7955,9384,666,1447,2262,4194,10106,25727,0.31,0.64,0.92,0.99,2.13,2.25,0.0222
"G0101090","2011-2015",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",12110,25857,43761,74483,141856,5847,18883,34042,56148,127869,218225,2.41,7.78,14.02,23.13,52.67,22.47,0.4992,"Pike County, Alabama",1792,2147,2080,3872,19362,1108,1727,1975,2980,10110,29341,0.43,0.60,0.76,0.90,1.88,2.22,0.0204
"G0101110","2011-2015",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",13526,27457,46814,67739,116847,8060,20180,36980,56409,112598,191482,3.44,8.62,15.79,24.08,48.07,20.44,0.4515,"Randolph County, Alabama",1017,3130,3293,3849,17876,873,2302,2799,2609,13521,42637,0.37,0.82,1.13,1.30,2.86,3.45,0.0296
"G0101130","2011-2015",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",16169,29882,47586,78733,125307,8719,23028,37342,61109,118530,181399,3.51,9.26,15.01,24.57,47.65,18.23,0.4430,"Russell County, Alabama",1280,1393,3672,4602,7937,882,1560,2083,3033,6942,22866,0.34,0.58,0.61,0.74,1.55,1.84,0.0177
"G0101150","2011-2015",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",21506,40026,62931,92259,150774,11633,29848,51800,76364,144186,232091,3.73,9.51,16.50,24.33,45.93,18.48,0.4260,"St. Clair County, Alabama",1325,3082,1694,3504,4784,936,1462,1965,2770,10104,33087,0.30,0.47,0.62,0.76,1.71,2.06,0.0183
"G0101170","2011-2015",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",30589,56165,85212,126180,214605,17829,43039,70401,102947,204882,345836,4.06,9.80,16.03,23.44,46.66,19.69,0.4265,"Shelby County, Alabama",990,1483,1310,2329,8388,672,1187,1523,1929,8854,28956,0.18,0.31,0.35,0.45,1.10,1.29,0.0118
"G0101190","2011-2015",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",8929,14647,26000,52063,98892,4128,11918,19212,38562,85383,128036,2.59,7.49,12.07,24.22,53.63,20.11,0.5068,"Sumter County, Alabama",845,948,2482,5165,9811,1283,1130,1788,3918,6112,10948,0.76,0.58,0.84,1.42,2.04,1.64,0.0206
"G0101210","2011-2015",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",14698,27415,45034,75377,130589,8320,20692,35714,57951,120535,192588,3.42,8.51,14.68,23.83,49.56,19.80,0.4615,"Talladega County, Alabama",785,1433,1770,2622,6245,593,943,1452,2121,6841,22617,0.27,0.41,0.53,0.72,1.55,1.86,0.0161
"G0101230","2011-2015",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",15673,30142,49943,78957,135583,8696,22352,39478,62948,124537,197739,3.37,8.66,15.30,24.40,48.27,19.16,0.4523,"Tallapoosa County, Alabama",1037,1927,2729,4494,11336,990,1578,2283,2932,7843,21890,0.35,0.52,0.71,0.87,1.71,1.69,0.0172
"G0101250","2011-2015",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",17932,36207,58675,93349,160632,9499,26370,46948,74998,154337,263041,3.05,8.45,15.04,24.03,49.44,21.07,0.4671,"Tuscaloosa County, Alabama",893,1148,1342,2508,4730,497,958,1192,1464,5391,16765,0.15,0.26,0.33,0.43,0.88,0.98,0.0092
"G0101270","2011-2015",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",15522,27734,47001,75463,131784,9057,21195,36429,59165,123432,198799,3.64,8.50,14.61,23.73,49.51,19.94,0.4594,"Walker County, Alabama",851,1438,1689,3836,5095,633,982,1638,2007,6343,21002,0.27,0.35,0.54,0.70,1.48,1.75,0.0152
"G0101290","2011-2015",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",16835,32570,50935,80930,127770,9341,25087,42113,63737,118606,181566,3.63,9.69,16.26,24.61,45.80,17.53,0.4245,"Washington County, Alabama",1289,3628,2401,5302,9599,1328,2235,2899,3830,9506,25903,0.49,0.70,0.86,0.97,2.07,1.92,0.0224
"G0101310","2011-2015",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",8352,18193,30896,54254,113451,2792,12633,23897,41819,103482,170321,1.51,6.84,12.94,22.65,56.05,23.06,0.5360,"Wilcox County, Alabama",918,2468,3388,6123,17656,1216,1632,2496,3755,12209,27642,0.61,0.77,1.06,1.35,2.65,2.75,0.0260
