GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AD38E001,AD38E002,AD38E003,AD38E004,AD38E005,AD39E001,AD39E002,AD39E003,AD39E004,AD39E005,AD39E006,AD4AE001,AD4AE002,AD4AE003,AD4AE004,AD4AE005,AD4AE006,AD4BE001,NAME_M,AD38M001,AD38M002,AD38M003,AD38M004,AD38M005,AD39M001,AD39M002,AD39M003,AD39M004,AD39M005,AD39M006,AD4AM001,AD4AM002,AD4AM003,AD4AM004,AD4AM005,AD4AM006,AD4BM001
"G3101030","2011-2015",,,"Nebraska","31","Keya Paha County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,"Keya Paha County, Nebraska",21846,31407,46125,83375,138425,13550,26797,37568,59164,129195,192653,5.09,10.06,14.11,22.22,48.52,18.09,0.4220,"Keya Paha County, Nebraska",4404,2679,9266,19867,24537,3303,3620,5122,11016,19264,36437,1.25,1.27,1.65,2.40,3.56,2.78,0.0382
"G3101050","2011-2015",,,"Nebraska","31","Kimball County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,"Kimball County, Nebraska",18427,33174,52862,77521,116432,11470,25273,40978,62954,134360,256110,4.20,9.19,14.89,22.88,48.84,23.27,0.4499,"Kimball County, Nebraska",2371,3882,4338,6441,24355,2005,3587,4481,4512,34906,127604,0.85,1.53,2.16,2.79,6.57,8.74,0.0685
"G3101070","2011-2015",,,"Nebraska","31","Knox County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,"Knox County, Nebraska",19667,35646,57364,83718,155367,11660,27534,45822,69879,148232,271223,3.85,9.08,15.12,23.05,48.90,22.37,0.4530,"Knox County, Nebraska",1822,2217,3370,3217,9688,1120,1689,2462,2764,14198,48826,0.38,0.58,0.89,1.12,2.46,3.10,0.0254
"G3101090","2011-2015",,,"Nebraska","31","Lancaster County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lancaster County, Nebraska",22628,41089,64834,101600,172221,12601,31741,52320,81470,165944,280267,3.67,9.22,15.21,23.68,48.23,20.36,0.4467,"Lancaster County, Nebraska",695,663,927,1033,2821,506,653,813,1057,3732,11759,0.14,0.19,0.23,0.28,0.62,0.67,0.0067
"G3101110","2011-2015",,,"Nebraska","31","Lincoln County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Nebraska",21391,40829,60101,93174,145417,12294,30648,50081,74867,148842,254069,3.88,9.68,15.81,23.64,46.99,20.05,0.4329,"Lincoln County, Nebraska",1517,1655,2492,3723,8794,1195,2075,1893,3329,12357,39830,0.35,0.56,0.66,0.90,1.85,2.30,0.0192
"G3101130","2011-2015",,,"Nebraska","31","Logan County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,"Logan County, Nebraska",22344,41429,62647,84750,146458,11506,30890,50176,72386,140706,217563,3.76,10.11,16.42,23.68,46.03,17.79,0.4193,"Logan County, Nebraska",5062,7458,6279,8817,40201,4594,5943,6217,6419,20602,72108,1.35,1.55,1.54,2.01,3.96,4.94,0.0465
"G3101150","2011-2015",,,"Nebraska","31","Loup County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,"Loup County, Nebraska",24917,42063,64313,99000,146375,16344,34303,53365,77348,142091,223145,5.05,10.61,16.50,23.91,43.93,17.25,0.3903,"Loup County, Nebraska",4780,9754,9249,15230,30990,3129,7392,9575,10962,19151,51353,0.85,1.81,2.09,2.18,4.82,3.59,0.0493
"G3101170","2011-2015",,,"Nebraska","31","McPherson County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,"McPherson County, Nebraska",19250,40778,59105,100800,152594,10299,30033,52056,72722,139843,223732,3.38,9.85,17.07,23.85,45.86,18.34,0.4243,"McPherson County, Nebraska",11474,14536,8834,28984,68103,5105,12125,10605,16117,28755,93812,1.54,3.26,2.68,3.37,6.92,6.71,0.0842
"G3101190","2011-2015",,,"Nebraska","31","Madison County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Nebraska",21670,40173,61289,92903,164064,12131,30182,50076,75308,150322,258032,3.81,9.49,15.75,23.68,47.27,20.28,0.4363,"Madison County, Nebraska",1454,2651,2552,3683,33362,1262,1931,2465,3627,14841,39224,0.33,0.55,0.75,0.86,2.01,2.07,0.0198
"G3101210","2011-2015",,,"Nebraska","31","Merrick County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,"Merrick County, Nebraska",24257,41287,60766,89324,142188,15488,32447,50899,72898,150607,277064,4.80,10.07,15.79,22.62,46.72,21.49,0.4202,"Merrick County, Nebraska",1850,3144,2960,5327,31054,2070,2734,3421,4317,25974,97395,0.71,1.05,1.33,1.86,4.21,5.83,0.0451
