"","state_index","form","RSS","AIC","AIC_c","lambda","par_1","par_2","par_3","par_4","par_5","STATE"
"1",1,"KAKWANI_PODDER",0.10300654060189,-222.244484118921,-221.901626976063,241.414846445419,2.19390535426296,NA,NA,NA,NA,"Alabama"
"2",1,"RASCHE",0.00174038960564482,-302.941583565422,-302.235701212481,2730.5542801632,0.562223107290446,0.629963301793429,NA,NA,NA,"Alabama"
"3",1,"ORTEGA",0.000598527288505138,-309.846335971226,-309.140453618285,3320.1490155586,0.714474487197716,0.460751738858651,NA,NA,NA,"Alabama"
"4",1,"CHOTIKAPANICH",0.0851060064505583,-223.652776224923,-223.309919082066,253.62604282302,3.23254880641359,NA,NA,NA,NA,"Alabama"
"5",1,"ABDALLA_HASSAN",0.000714847860279396,-307.714639056128,-306.502517844007,3292.7502664918,0.699496735480193,3.35364740477339e-09,0.46124506285447,NA,NA,"Alabama"
"6",1,"RHODE",0.0225429413583637,-234.134237865804,-233.791380722947,361.900058022448,1.24185150870057,NA,NA,NA,NA,"Alabama"
"7",1,"PARETO",0.110442691784216,-228.998469663216,-228.655612520359,298.787086547134,1.65933198581408,NA,NA,NA,NA,"Alabama"
"8",1,"LOGNORMAL",0.00553153711413839,-284.469026093164,-284.126168950307,1527.11458684207,1.00738240380749,NA,NA,NA,NA,"Alabama"
"9",1,"GAMMA",0.0393565186518208,-246.54542476914,-246.202567626283,488.011932687661,1.04561369573396,NA,NA,NA,NA,"Alabama"
"10",1,"WEIBULL",0.0300533039338784,-246.555058863001,-246.212201720144,506.304228057536,0.973556798283253,NA,NA,NA,NA,"Alabama"
"11",1,"GENERALIZED_GAMMA",0.00557025540272267,-282.293206778029,-281.587324425088,1518.47958093505,47540.3093400778,0.00454730709264614,NA,NA,NA,"Alabama"
"12",1,"DAGUM",0.000907601829950565,-308.423478164259,-307.717595811318,3190.65971490606,0.642879948887691,2.10197438602251,NA,NA,NA,"Alabama"
"13",1,"SINGH_MADDALA",0.00147923092926331,-304.830091822147,-304.124209469205,2879.40756586579,1.29970756347169,1.66483653971774,NA,NA,NA,"Alabama"
"14",1,"GB1",0.00561608778447899,-280.111148106202,-278.89902689408,1510.60198571059,30547.5099643894,62450.723393151,0.00464275976054662,NA,NA,"Alabama"
"15",1,"GB2",0.000594300486859138,-309.659100476511,-308.446979264389,3477.60505345623,0.309943948888469,0.554144964007656,3.56005063922351,NA,NA,"Alabama"
"16",1,"SARABIA",0.000567852089027256,-304.325710443536,-302.450710443536,3170.44213750424,0.000100066434934661,1.67611725272442,0.408242870315714,0.376394960573818,NA,"Alabama"
"17",1,"WANG",0.000563410800252181,-323.965942780327,-321.256265360972,5959.8674381452,0.848639497078166,0.890947692390189,0.99999999727098,0.66041620720097,49.9500586140812,"Alabama"
"18",2,"KAKWANI_PODDER",0.054561581776829,-230.429867303114,-230.087010160257,343.40627412645,1.85208938998923,NA,NA,NA,NA,"Alaska"
"19",2,"RASCHE",0.00227190125062675,-304.183381967254,-303.477499614313,3166.49931729476,0.616012056145033,0.658698180492596,NA,NA,NA,"Alaska"
"20",2,"ORTEGA",0.00107748857990385,-313.459447192989,-312.753564840047,4138.39211728044,0.600607650238962,0.525599031319822,NA,NA,NA,"Alaska"
"21",2,"CHOTIKAPANICH",0.0450166447774719,-231.438061492978,-231.095204350121,356.327592415066,2.80557064130189,NA,NA,NA,NA,"Alaska"
"22",2,"ABDALLA_HASSAN",0.000861569921403384,-311.288929687536,-310.076808475415,4102.52686229767,0.590585185085115,1.12563392441909e-08,0.527478796431296,NA,NA,"Alaska"
"23",2,"RHODE",0.0181141244234779,-237.609928948674,-237.267071805817,440.463621864581,1.33009687785096,NA,NA,NA,NA,"Alaska"
"24",2,"PARETO",0.0901439183187481,-230.594769280376,-230.251912137519,356.507632433627,1.82728256276452,NA,NA,NA,NA,"Alaska"
"25",2,"LOGNORMAL",0.00528691499351731,-285.988598249805,-285.645741106948,1769.90419418064,0.862578636216121,NA,NA,NA,NA,"Alaska"
"26",2,"GAMMA",0.0192380059458165,-257.98400364088,-257.641146498022,757.497305826959,1.39279463021605,NA,NA,NA,NA,"Alaska"
"27",2,"WEIBULL",0.0211302263131832,-253.777989564443,-253.435132421585,679.848976251626,1.17427217901347,NA,NA,NA,NA,"Alaska"
"28",2,"GENERALIZED_GAMMA",0.0053197824774226,-283.852874019396,-283.146991666455,1762.6097455132,38241.0210851191,0.00592087553099399,NA,NA,NA,"Alaska"
"29",2,"DAGUM",0.00139420026668214,-311.157530035798,-310.451647682857,3869.73242392425,0.649254184145496,2.41399224136242,NA,NA,NA,"Alaska"
"30",2,"SINGH_MADDALA",0.00208088161081747,-306.050181817267,-305.344299464326,3341.04491686817,1.27545217644446,1.93350583779715,NA,NA,NA,"Alaska"
"31",2,"GB1",0.00532878795671348,-281.684408035084,-280.472286822963,1754.26741581201,20548.4294083104,41776.8965751511,0.00660460108392607,NA,NA,"Alaska"
"32",2,"GB2",0.000372821757645661,-318.633585725256,-317.421464513135,5049.97993932086,0.190305827657013,0.343550347799279,6.33991962996287,NA,NA,"Alaska"
"33",2,"SARABIA",0.000355840698905572,-311.999294574729,-310.124294574729,4431.96527291556,0.000101832643619697,1.64139468231206,0.317590301724132,0.378134158007283,NA,"Alaska"
"34",2,"WANG",0.000301334906586327,-332.899426973265,-330.18974955391,8650.83470422365,0.875550218588993,0.777864635676056,0.999999978092242,0.738045390657983,49.0722464795272,"Alaska"
