"","county_index","form","RSS","AIC","AIC_c","lambda","par_1","par_2","COUNTY","AIC_c_diff"
"1",1,"ORTEGA",5.21339370918898e-05,-204.271754030604,-203.071754030604,15772.2533840129,0.800352770352773,0.576515999843894,"Dillingham, Alaska",36.941742325553
"2",1,"LOGNORMAL",0.00198639975377442,-166.70144027648,-166.130011705051,2115.8380367383,0.869289560076552,NA,"Dillingham, Alaska",36.941742325553
"3",2,"ORTEGA",0.000538526401557236,-186.068019777267,-184.92516263441,3057.85998428714,0.554083303631587,0.455511691101924,"Haines, Alaska",27.400939695308
"4",2,"LOGNORMAL",0.00690629172461482,-158.069677484556,-157.524222939102,800.09789803445,0.980946950389594,NA,"Haines, Alaska",27.400939695308
"5",3,"ORTEGA",0.00165602229356952,-179.978763144525,-178.835906001668,2266.00896442156,0.516485446128944,0.467904974244726,"Ketchikan, Alaska",31.65647953653
"6",3,"LOGNORMAL",0.00624253119786956,-147.724881010593,-147.179426465138,483.443584044554,0.898484606628298,NA,"Ketchikan, Alaska",31.65647953653
"7",4,"ORTEGA",0.00349652845708649,-158.803231487514,-157.603231487515,1232.30536395517,0.524893176376043,0.478777957699414,"Sitka, Alaska",22.763533517178
"8",4,"LOGNORMAL",0.00699943128870633,-135.411126541766,-134.839697970337,370.030557242445,0.874014354862714,NA,"Sitka, Alaska",22.763533517178
"9",5,"ORTEGA",0.00127353413717948,-172.786902069227,-171.586902069227,2514.68031527628,0.697344445458308,0.510199820162882,"Petersburg, Alaska",20.692197213181
"10",5,"LOGNORMAL",0.0041905052976206,-151.466133427474,-150.894704856046,794.895937961526,0.918110363665208,NA,"Petersburg, Alaska",20.692197213181
"11",6,"ORTEGA",0.000623674181025968,-165.085719409202,-163.885719409202,1969.34063109065,0.673281129811124,0.46566802174326,"Prince, Alaska",18.070070683679
"12",6,"LOGNORMAL",0.00398586549767359,-146.387077296951,-145.815648725523,733.273778972747,0.99236046277382,NA,"Prince, Alaska",18.070070683679
"13",7,"ORTEGA",0.00110810234205767,-170.600593162566,-169.400593162566,2312.38078479987,0.475361273436267,0.352136874837153,"Hoonah, Alaska",47.570481457981
"14",7,"LOGNORMAL",0.020479370254811,-122.401540276014,-121.830111704585,230.209409973339,1.11325123818665,NA,"Hoonah, Alaska",47.570481457981
"15",8,"ORTEGA",0.000487400451434097,-172.892939518391,-171.692939518391,2923.93268318802,0.773054123191142,0.560571318327454,"Nome, Alaska",17.020153057426
"16",8,"LOGNORMAL",0.0024142218479481,-155.244215032393,-154.672786460965,1076.35089571331,0.874333355723189,NA,"Nome, Alaska",17.020153057426
"17",9,"ORTEGA",0.000106739659296346,-213.890384254046,-212.747527111189,12270.4849948285,0.807489721970568,0.659334613893568,"North, Alaska",42.67456619512
"18",9,"LOGNORMAL",0.00459289264218054,-170.618415461524,-170.072960916069,1291.27579339746,0.771227439310622,NA,"North, Alaska",42.67456619512
"19",10,"ORTEGA",0.000895822281645261,-167.493184608553,-166.230026713816,4279.07544759601,0.948723636445465,0.612932464546443,"Yukon, Alaska",14.267487882652
"20",10,"LOGNORMAL",0.00376685129762458,-152.562538831164,-151.962538831164,1703.77543828346,0.871143678444402,NA,"Yukon, Alaska",14.267487882652
