"","COUNTY","par_1","par_2"
"1","Dillingham, Alaska",0.800352770352773,0.576515999843894
"2","Haines, Alaska",0.554083303631587,0.455511691101924
"3","Ketchikan, Alaska",0.516485446128944,0.467904974244726
"4","Sitka, Alaska",0.524893176376043,0.478777957699414
"5","Petersburg, Alaska",0.697344445458308,0.510199820162882
"6","Prince, Alaska",0.673281129811124,0.46566802174326
"7","Hoonah, Alaska",0.475361273436267,0.352136874837153
"8","Nome, Alaska",0.773054123191142,0.560571318327454
"9","North, Alaska",0.807489721970568,0.659334613893568
"10","Yukon, Alaska",0.948723636445465,0.612932464546443
"11","Valdez, Alaska",0.766254178556091,0.578574981455445
"12","Matanuska, Alaska",0.640521866970285,0.570751002251896
"13","Kodiak, Alaska",0.584503196859317,0.590417425102811
"14","Fairbanks, Alaska",0.552952179975929,0.519880713440038
"15","Northwest, Alaska",0.777127711006073,0.624652344787478
"16","Aleutians, Alaska",0.687947549709397,0.708210307919843
"17","Anchorage, Alaska",0.514829865972895,0.466526750421735
"18","Wrangell, Alaska",0.677927938442202,0.523411075393951
"19","Kenai, Alaska",0.67112319289682,0.522156988957591
"20","Bethel, Alaska",0.76744004324058,0.587398784732386
"21","Juneau, Alaska",0.535870999537788,0.570477571349792
"22","Southeast, Alaska",0.786620218313688,0.692797788121156
"23","Tallapoosa County, Alabama",0.662719425434335,0.421704476346659
"24","Shelby County, Alabama",0.523079451368217,0.449123025083065
"25","Lauderdale County, Alabama",0.660925514472137,0.436048176452714
"26","Cherokee County, Alabama",0.714400867486035,0.467901573509153
"27","Hale County, Alabama",0.925517676411632,0.555003386455892
"28","Pickens County, Alabama",0.898498464177529,0.493275864371223
"29","Etowah County, Alabama",0.644374060248957,0.458372306698213
"30","Sumter County, Alabama",0.978078053576961,0.4534941881718
"31","Escambia County, Alabama",0.719692462355655,0.452766435694049
"32","Franklin County, Alabama",0.622824358614322,0.464389634263347
"33","Houston County, Alabama",0.641901819964697,0.403627199047241
"34","Chilton County, Alabama",0.746427234689103,0.552559169599181
"35","Colbert County, Alabama",0.667264730465672,0.461008014335539
"36","Randolph County, Alabama",0.742394355265133,0.480132029086988
"37","Tuscaloosa County, Alabama",0.675643104168377,0.429037660357018
