"","COUNTY","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1","Dillingham, Alaska",0,0.00482957257488557,0.0123285694252804,0.027987670628307,0.0347957606729537,0.0453754843134575,0.0638310453380281,0.0800241930759117,0.105953619409052,0.123270931750464,0.131450928632889,0.155600952321655,0.238372099691546,0.271847871263076,0.333091330129435,0.454096241631539,0.50314861645271,0.585651118144788,0.684921110012383,0.786786786786787,0.922922922922923,1,NA
"2","Haines, Alaska",0,0.00248612145899358,0.00559395976049275,0.0156347828747253,0.0195076963806885,0.0366011799944483,0.0411789283564118,0.0679911195269121,0.0913005283806799,0.123001374149206,0.124392895845876,0.149347056879037,0.196683287988888,0.259144732089103,0.274142705663581,0.39965586348006,0.462299819385912,0.528755275456356,0.597130204459434,0.667417773658863,0.711,0.878,1
"3","Ketchikan, Alaska",0,0.00174308317094496,0.00802912390430787,0.0144631450122266,0.0261110158019063,0.0394411067056807,0.0402311447908469,0.0565065802966372,0.0808326219216931,0.0986136391970787,0.122099824790574,0.128763613068546,0.177302477005715,0.244908671496283,0.272339949469994,0.387458776762945,0.488284470347251,0.532465460420074,0.62020910201809,0.736263736263736,0.74075765478834,0.867132867132867,1
"4","Sitka, Alaska",0,0.00294576763284419,0.00701178463853853,0.0131875980318154,0.0200922779638896,0.0310630915166218,0.036442360508701,0.0423331406004355,0.0567180183262082,0.0676735583875197,0.093182813160236,0.129977568499447,0.136262739293404,0.231477867220206,0.288017883054275,0.388830448586853,0.501302519558098,0.522438380535169,0.62792850679578,0.737737737737738,0.871871871871872,1,NA
"5","Petersburg, Alaska",0,0.00252145276231709,0.0113898060404054,0.0226089353976211,0.0303703159441587,0.0322253930477511,0.0437438188619582,0.0509668964418248,0.0634684025129739,0.0761836294882929,0.0956732116099513,0.117090374724467,0.145508486552063,0.222248955504358,0.265831741366642,0.351645871751614,0.492968772961058,0.502626940978481,0.594305541174748,0.747,0.895,1,NA
"6","Prince, Alaska",0,0.00456537557767531,0.011340210360573,0.0311347364776151,0.0335228609144366,0.0492945621246405,0.0700319001802269,0.0966458736789258,0.111459258370335,0.122052181625371,0.147591084283466,0.179212821256457,0.225872256062062,0.241721948877955,0.305007851159963,0.444191294274438,0.460386295451818,0.590002705552534,0.685590263522037,0.709,0.879,1,NA
"7","Hoonah, Alaska",0,0.0023918929333955,0.00867865542790167,0.0194122750431849,0.0326208362863218,0.0359728218840019,0.0511533844914726,0.0810545762986868,0.0943951353936737,0.104034018426648,0.121505647437636,0.136072965501471,0.181277718444196,0.22276210725254,0.253317164460708,0.405556343019135,0.416471911885693,0.493755837752072,0.542671695437672,0.622,0.797,1,NA
"8","Nome, Alaska",0,0.00558243326697085,0.0152401238719044,0.0268419467301388,0.0341129631850342,0.0479272409475602,0.0756173786865691,0.108666186381467,0.120576567933805,0.133340686180473,0.156220712793849,0.191737137958394,0.252327000070636,0.26364312267658,0.324668575902629,0.495210546868062,0.499410001199184,0.610172306454829,0.71229830982819,0.788,0.912,1,NA
"9","North, Alaska",0,0.00261209536908885,0.00717651437934514,0.0133701506535453,0.0210806447678292,0.0309680942924474,0.0389704634987654,0.047400407223296,0.0667821494125032,0.0997311628194905,0.108003538322643,0.135130082181969,0.144463839904973,0.219547468720394,0.296175522590617,0.340473607639463,0.497846326246223,0.546365898252691,0.591314982082658,0.768280569045044,0.826173826173826,0.944055944055944,1
"10","Yukon, Alaska",0,0.00932022151816826,0.0280079255720863,0.0327472181906144,0.0577240217640046,0.0892860386145016,0.111494194484761,0.118725582638319,0.149018865889615,0.186741348537325,0.213020232411419,0.250719749028617,0.254775278180939,0.325842027059883,0.431742468294256,0.496009917755201,0.595669245837336,0.729602553651414,0.794,0.938,1,NA,NA
"11","Valdez, Alaska",0,0.0031676010703772,0.00653666071401764,0.0177465690997568,0.0289302957820153,0.0301375392262882,0.0365349106138324,0.0471148934096427,0.0587975286501129,0.0701038870080235,0.0815765295495421,0.117000880175675,0.122515648593824,0.175361895997845,0.286306622649738,0.326974778147328,0.498277862520242,0.51991934907463,0.599353327314267,0.719418821475875,0.787787787787788,0.917917917917918,1
"12","Matanuska, Alaska",0,0.00241239209582207,0.0077423114784361,0.0154669853560217,0.0249082140917812,0.0342753161866459,0.0374090745408714,0.0474016268499391,0.0636598782073564,0.0804453539332121,0.0970834132929837,0.137892689953187,0.139171866401671,0.225060977767343,0.300409074540871,0.382341434836069,0.529993940180264,0.532629456247749,0.649369711128199,0.789,0.916,1,NA
"13","Kodiak, Alaska",0,0.00189537371841695,0.00803344550159133,0.0154691842813325,0.0245142550091415,0.0387879685982183,0.0419371968962173,0.0572280806497687,0.0711583766942072,0.0941911077910329,0.11703304090283,0.141755455868089,0.161813725930183,0.241846613367556,0.307378394762367,0.401251124174382,0.543250969932105,0.581010788810389,0.679318922637635,0.797,0.810226911681661,0.919,1
"14","Fairbanks, Alaska",0,0.00178197416823371,0.00643022307982802,0.0126145845353152,0.0225623168761508,0.0314562614527355,0.041268105376896,0.0448214416333763,0.0614806346303148,0.0858051386351389,0.102562796989705,0.139268211147764,0.148998270593984,0.236628189122894,0.292509821407344,0.381330716458534,0.499274763127523,0.515432115237846,0.611658216211063,0.767232767232767,0.895104895104895,1,NA
