"","STATE","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36"
"1","Alabama",0,0.0176753919127492,0.0229211593781415,0.0289468480605085,0.0363152965546538,0.0441382014609123,0.0526347167736117,0.0617540725691969,0.0717165416622769,0.0823227874615385,0.0936880144213695,0.105275056299678,0.119281802580716,0.133520487024588,0.14863028748941,0.164479323541474,0.181405128270024,0.199374860015445,0.218035004719222,0.236839349559045,0.260081488595295,0.283602915836644,0.307781226257336,0.333181327282659,0.360304072738925,0.388835093159862,0.417945006077376,0.44703649094325,0.485998033095724,0.524801503595788,0.564777532381395,0.608204307947473,0.655381470718414,0.703210038332219,0.802886575303404,1
"2","Alaska",0,0.0236190239077572,0.0309352546434646,0.0388416445404637,0.0480925297961352,0.0579437329031465,0.0684491647654156,0.0796259549919357,0.0921036487411844,0.105250415090528,0.118872105293115,0.133107531695681,0.149805394225659,0.166898380618812,0.184213066382208,0.20311261780238,0.222432059044012,0.242512776013293,0.262907699425874,0.28357799889323,0.308716689002066,0.334548073343255,0.360513668605811,0.387669577856346,0.415527178883376,0.444280031937619,0.474520762392731,0.504327609661288,0.541716905258301,0.581315167682325,0.621997091690413,0.664440851446882,0.708244386704742,0.754324902344943,0.840429475729188,1
"3","Arizona",0,0.0176134422826649,0.0230356069698508,0.0287066307203101,0.0367854612970803,0.0447094372893508,0.053099591552171,0.0624075862534506,0.072142532117112,0.0828365517230354,0.0937489688737013,0.104727358932279,0.118783929899036,0.13247337553861,0.147253498144543,0.162738805014054,0.178733515056814,0.195291223240878,0.212778438822289,0.230260737867873,0.252350460631828,0.27484675137538,0.298927555399167,0.323261054928675,0.348222353709965,0.373908904269314,0.399908064427555,0.426452289292676,0.46222627339136,0.498138020267404,0.536350249617346,0.575741383083422,0.619801708409811,0.663968766248273,0.774687122914274,1
"4","Arkansas",0,0.0190898888721795,0.0247943495030673,0.0310769911306867,0.0385742748689074,0.046498645471361,0.0550245462593866,0.0643469963977979,0.0742807714528528,0.085010278825351,0.0963341119811167,0.108039220382515,0.121664042037206,0.135655014211158,0.150438813819596,0.166020370296214,0.182371729781981,0.199720413607603,0.217873090653398,0.236464686013106,0.258396896681295,0.280836487443655,0.304241730373476,0.328866699850312,0.355030639868321,0.382404258815676,0.410424554857494,0.438961133359563,0.476506922373167,0.513801693882312,0.552679638475217,0.594817468812697,0.640829622229863,0.687234880102116,0.789574268981129,1
"5","California",0,0.016243701544213,0.0211709928188331,0.0261419871257566,0.0331984885976943,0.0404153007743585,0.0480239828299274,0.0564915040216231,0.0654615787079033,0.0753502215940051,0.0856009899136252,0.0957959518784277,0.109144684635886,0.122115385511804,0.136002308093372,0.15063154889395,0.165845217334991,0.182047694394791,0.19851555006591,0.215021892082468,0.236622067234442,0.258568104033253,0.280931871814538,0.303694226250097,0.32751906750741,0.352829497790536,0.37889522342192,0.404422620259397,0.440055777723308,0.475389201276003,0.512470169298766,0.552979685778684,0.595407518009146,0.637978739810745,0.746654746086201,1
"6","Colorado",0,0.0198226912763315,0.0259987332747183,0.0325207313697952,0.0406714692103355,0.0492521059268662,0.0584144984165611,0.0683059071497807,0.0788829889090221,0.0902286598162534,0.102138795817605,0.114162425836011,0.128717242664344,0.143756702307303,0.159187319188087,0.175316521910058,0.192286612677224,0.210110586162428,0.228271259454647,0.246469049722031,0.269662418863126,0.293405714045958,0.317654313878539,0.342426308454383,0.36776391666512,0.393683229090622,0.421134866342062,0.448603125467029,0.48504659886678,0.521450064618012,0.559910878333079,0.601526646551321,0.645528830298908,0.689277281589414,0.789079158750634,1
"7","Connecticut",0,0.0143691300207315,0.0190480184382986,0.0239595668404946,0.0302598972304068,0.0368192519952133,0.0441097187202356,0.0519954585183981,0.0606592211629366,0.0699208632654608,0.0797011769207825,0.089745095669271,0.101987267289715,0.114301088155064,0.127649796379795,0.141822967614465,0.156458590797946,0.171250155421788,0.186748141242356,0.202525986641562,0.222585938670352,0.242610654714135,0.262993927514725,0.284406156222555,0.307539735081675,0.331568605685464,0.355855259252028,0.379863024455209,0.412047949250675,0.445273117610545,0.481933213958747,0.519755858655445,0.557984279227462,0.596194418280527,0.707588276563219,1
"8","Delaware",0,0.020106047648125,0.0263772916629864,0.0329667076670513,0.0416651954173594,0.0502622410009627,0.0598207439173261,0.0698968551727879,0.0810286492395333,0.0927244669774422,0.105107816321173,0.117478098360749,0.132655181829588,0.147775837913575,0.164522020489108,0.182089772446704,0.199657524404299,0.217323762228439,0.236147027214884,0.255463176710986,0.279237781198553,0.30301238568612,0.328012274389548,0.353795142336963,0.382373117985923,0.410951093634883,0.439529069283843,0.466194116302541,0.503207865529993,0.540221614757447,0.579657098886219,0.623765538386153,0.668645819502318,0.712209381958131,0.810928208443065,1
"9","Florida",0,0.0160536918127271,0.020909752949528,0.0259838466186215,0.032832387593594,0.0398169195011482,0.0473198931877696,0.0552797600838424,0.0639660437728813,0.0731994383719786,0.0828425847091624,0.0923729730966118,0.104552480217082,0.116677717562263,0.129288505473682,0.142698438630112,0.156865965937786,0.171667215846055,0.186868853619933,0.202095087549239,0.221454921513312,0.240979428785917,0.261192908270962,0.282236992545558,0.304418566797463,0.32750553878381,0.351014833293048,0.374422650973089,0.406882423941515,0.438979635110114,0.472182560604678,0.508783006335468,0.548511053728227,0.589471837985568,0.702885159484875,1
"10","Georgia",0,0.0179194492071701,0.0233506816286767,0.0291550376600454,0.0370796259433916,0.0451487881195041,0.0536809011157836,0.0629963795699686,0.0730331209424669,0.0837587818709254,0.0949415812078114,0.106151362649596,0.120540968262795,0.134768238852731,0.149563443451982,0.165308495961231,0.181845039261506,0.19908994157895,0.216849214805792,0.234471072265515,0.257477471419125,0.28020399243344,0.303500585547495,0.328040594628885,0.354162018735321,0.3810969276696,0.408554874012765,0.435611751448099,0.472885927272275,0.51033099916814,0.549236123400604,0.591154103633679,0.636759989901556,0.681907208765183,0.789075259135747,1
